filename,id,full_nominal_quotient,simple_nominal_quotient,word_count,mean_sentence_length
14 E,C108,0.8793103448275862,1.04,567,17.71875
14 E,C109,0.5175718849840255,0.632,636,15.9
14 E,C110,0.8528428093645485,0.99375,751,15.645833333333334
14 E,C111,0.9003215434083601,1.064102564102564,789,24.65625
14 E,C112,0.6666666666666666,0.8888888888888888,785,18.25581395348837
14 E,C113,1.127208480565371,1.2097902097902098,801,19.071428571428573
14 E,C114,0.7415384615384616,0.9308176100628931,729,18.692307692307693
15 A,C331,1.5377777777777777,1.4227642276422765,722,21.87878787878788
15 A,C332,1.2602739726027397,1.3421052631578947,648,20.903225806451612
15 A,C333,1.347985347985348,1.5460992907801419,883,23.864864864864863
15 A,C334,1.2019867549668874,1.2901234567901234,915,20.795454545454547
15 A,C335,1.964102564102564,1.8611111111111112,802,22.914285714285715
15 A,C336,1.2014925373134329,1.3985507246376812,793,22.65714285714286
15 A,C337,1.4805194805194806,1.4508196721311475,786,20.68421052631579
15 A,C338,1.6761363636363635,1.606060606060606,660,16.097560975609756
15 A,C339,1.0196078431372548,1.0135135135135136,700,22.580645161290324
15 A,C340,1.1604477611940298,1.4402985074626866,803,18.25
15 A,C341,1.3629032258064515,1.2466666666666666,797,24.151515151515152
15 A,C342,1.2300884955752212,1.2196969696969697,675,20.454545454545453
15 A,C344,1.4114832535885167,1.3274336283185841,666,18.0
15 A,C345,1.472636815920398,1.6126126126126126,681,21.967741935483872
15 A,C346,2.550724637681159,2.6164383561643834,663,27.625
15 A,C347,1.3053435114503817,1.3082191780821917,821,20.525
15 A,C348,1.2543859649122806,1.5945945945945945,699,25.88888888888889
15 A,C349,1.1181818181818182,1.0975609756097562,654,21.8
15 A,C350,1.3443396226415094,1.3716814159292035,706,25.214285714285715
15 A,C351,1.9022988505747127,1.5137614678899083,683,24.392857142857142
15 A,C352,1.0140845070422535,1.1956521739130435,778,18.523809523809526
15 A,C353,1.5309734513274336,1.4307692307692308,804,23.647058823529413
15 A,C354,0.8654970760233918,1.1710526315789473,849,19.74418604651163
15 A,C355,1.3176470588235294,1.3472222222222223,788,21.2972972972973
15 A,C356,1.404,1.4859154929577465,806,18.74418604651163
15 A,C357,1.4166666666666667,1.2884615384615385,593,18.53125
15 A,C358,1.1679104477611941,1.236842105263158,788,18.325581395348838
15 A,C359,1.2447257383966244,0.9790209790209791,731,17.404761904761905
15 A,C360,1.6827586206896552,1.9473684210526316,537,21.48
15 A,C361,1.4210526315789473,1.2608695652173914,721,18.973684210526315
15 A,C362,1.8453608247422681,1.7685185185185186,744,28.615384615384617
15 A,C363,1.4460093896713615,1.3728813559322033,701,25.962962962962962
15 A,C364,1.6582914572864322,1.6636363636363636,800,21.05263157894737
15 A,C366,0.8623188405797102,0.9178082191780822,721,25.75
15 A,C367,1.7151898734177216,1.4574468085106382,571,17.303030303030305
15 A,C368,1.6340425531914893,1.6793893129770991,835,21.973684210526315
15 A,C369,1.1923076923076923,1.1408450704225352,797,30.653846153846153
15 A,C370,1.0338983050847457,1.051094890510949,679,17.41025641025641
15 A,C371,1.6756756756756757,1.5594405594405594,828,21.789473684210527
15 A,C372,1.9101123595505618,1.7830188679245282,696,19.333333333333332
15 A,C373,1.1504065040650406,1.103448275862069,767,23.242424242424242
15 A,C374,1.1114754098360655,1.1345029239766082,900,13.846153846153847
15 A,C375,0.9108527131782945,1.0583333333333333,654,14.217391304347826
15 A,C376,1.73046875,1.703448275862069,914,17.576923076923077
15 A,C377,1.527027027027027,1.3455882352941178,807,22.416666666666668
15 A,C378,1.7108433734939759,1.6770833333333333,614,19.806451612903224
15 A,C379,1.0389972144846797,1.1477832512315271,1039,23.08888888888889
15 A,C380,1.6446886446886446,1.5432098765432098,950,16.964285714285715
15 C,C281,0.7106017191977078,0.71875,811,24.575757575757574
15 C,C282,1.0868055555555556,1.131578947368421,810,21.89189189189189
15 C,C283,1.3471502590673574,1.1129032258064515,602,25.083333333333332
15 C,C284,1.0671936758893281,1.1458333333333333,705,21.363636363636363
15 C,C285,1.056910569105691,1.24,713,17.825
15 C,C286,1.3411764705882352,1.2751677852348993,811,20.794871794871796
15 C,C287,0.8354838709677419,0.9210526315789473,766,27.357142857142858
15 C,C288,1.0873362445414847,1.3482142857142858,670,22.333333333333332
15 C,C289,1.5687203791469195,1.4958677685950412,750,20.27027027027027
15 C,C290,2.360655737704918,1.9583333333333333,847,20.658536585365855
15 C,C291,1.888268156424581,2.0,677,22.566666666666666
15 C,C293,1.3457943925233644,1.2212389380530972,657,20.53125
15 C,C295,1.7117117117117118,1.6694214876033058,776,20.972972972972972
15 C,C297,1.5299145299145298,1.4265734265734267,797,19.925
15 C,C298,1.1755725190839694,1.2361111111111112,777,24.28125
15 C,C299,1.3263157894736841,1.336283185840708,610,55.45454545454545
15 C,C300,1.2790697674418605,1.36,798,21.56756756756757
15 C,C301,1.0857142857142856,1.2481751824817517,731,26.107142857142858
15 C,C302,1.8128654970760234,1.9278350515463918,695,26.73076923076923
15 C,C304,1.9534883720930232,1.7692307692307692,835,25.303030303030305
15 C,C305,1.4897119341563787,1.3716216216216217,792,14.142857142857142
